,date,userid,message_without_stopwords
0,"March 23, 2002  7:04PM",cybersol,"entry level performance interior sedans hot area car manufacturers enthusiasts alike. sedans show performance fun drive handling well. show interior offering interior important creatures toyota found luxurious upscale sedans. selection vehicles compete space vast varied.the benchmarks define bmw 330 audi audi 3.0. many contenders, acura tl-s, chryslerm, jaguar x-type, infiniti i35, mercedes mercedes, volvo volvo t5. companies contenders eaccelerationasize performance lexus is300 interior lexus es300. field continously growing, recent additions cadillac cts infiniti pontiac5.the common charatertoyotaics entry level perfomance interior group seem price around 30 40k (us dollars) 0-60 times six eight seconds.with wide variety cars targeted similar market segment, choices personal car great. choices, hard understand personally evaluate options. topic created start discussion relative merits personalities cars available entry level performance interior field."
1,"March 25, 2002  5:54AM",merc1,"personally think tweaks c320 could also sit top group. it's still entry-level interior sedan mercedes would lead believe. c320 ""sport"" needs it's handling retuned accept 17 inch tires without harsh ride. mb also needs stop forcing metal trim black interior everyone wants sport package. c240's 6-acceleration wouldn't hurt either offered c320, though needs ""fixed"" first. toyotad, favorite group (gasp!) new audi 3.0. audi easily best interior sub-40k car, combine stunning looks body rigid ever made personal favorite. single thing don't like audi grey trim around bottom car. trim doesn't match body exteriors, body exterior anyway. hyundailent car opinion best 40k. upcoming audi convertible, coupe s4 winners. bmw 330i old favorite, i'm (of people) starting tire bmw bit, save bmw vhondants. kind dissappointed 2002 faceexterior, could done little way styling. hope little 2003 coupe models. acura tl-s easily favorite fwd car class. wonderful power (you actually hear it) decent handling front driver. nice price, seats not, hard see tl popular. car's main faults styling obvious price-cutting interior, interior, fake wood etc. otherwise standout. lexus es300. nice, type car all. one buick set. is300 half baked, wonderful chassis. styling also nissanion here, simply doesn't look like 35k car (grown). interior ghandling-awful. bet next is300 done right start. defense toyota didn't initially intend car sold u.s. rush job. cts holds greatest unrealized potential here. i've seen several now, time see one look better better. like c320, is300 car interior issues. dash feels like made rutoyotaermaid. you're going stingy wood trim, bother? half handling wheel wood, little anywhere else car??? seats good though, handling. work progress. pontiac5 looks like may winning chassis, interior, though clean looking seems styled 10 years ago, lots square shapes flat surfaces. another great power, waiting drive one.don't really care much x-type. jaguar man i'd truly pissed ford jaguar one. actually selling fwd x-type england i've read they're thinking selling here! hell no. car handling handling. tell done compete audi. thats bs, handling way keep car fwd, without spending money convert car handling. good looking car though jaguar ""leaper"" enough some, car grow me. chryslerm close audi american cars come. new chrysler ""special"" truly good looking car inside out. one problem: performance???? 255power car *in class) 0-60 time 8 seconds accpetable. something right here. say power, power and/or gearing, whatever is, chrysler needs let mb powerers look car. heavier e320 less power faster. still like car, it's lust object get past great styling."
2,"March 25, 2002  7:06AM",fredvh,debating new purchase two top ltoyota. price difference two approx. 6k (non-type acura). es300 worth 6k tl? don't know never owned tl mazdar es300(previous generation). supposedly 2002 es300 lot better previous generation much better tl? great importance initial quality overall dependability. tl compare es300 categorys? mazdar honda co. prices lower lexus service work? would appreciate input dilemma tl owners.
3,"March 25, 2002  5:02PM",blueguydotcom,"great handling, handling, hyundailent power best warranty around. easy winner."
4,"March 25, 2002 11:04PM",hungrywhale,"power tranny. may matter you, certainly matter many enthusiast drivers.so imo, it's even board, let alone 'easy winner'."
5,"March 26, 2002 12:44AM",riez,"one beauty bmw 3 series many models choose from. almost half buyers america don't get basic handling 4 door sedan. besides 3 power 3 power choices, get coupe, convertible, handling, station wagon, super-high performance m-series!!!hungrywhale... concur availability power power across line absolutely critical!!!"
6,"March 26, 2002  8:20PM",blueguydotcom,"good grief, wait 9 months power. even auto, prefer every car ltoyotaed never owned auto never thought i'd enjoy driving car auto. that's price, performance exceptional power car. g stick another sedan bmw i'd consider."
7,"March 26, 2002  9:02PM",hungrywhale,"i'll give fair shot power comes out, i'm flat-out interested auto. don't care fast is. it's acceleration, it's driving experience control car."
8,"March 26, 2002  9:45PM",blueguydotcom,"understand it's acceleration. really don't care car won't 100 rarely break buick mark. care power power mode auto, get want it. buy auto-equipped g? likelihood, no. desperately want drive 6 acceleration."
9,"March 27, 2002 12:00AM",hungrywhale,sounds like know won't even put ltoyota (let alone top) power comes out.
10,"March 27, 2002  2:00AM",riez,"thing power-only true performance sedan? book. certainly europe asia. america oxymoron possible. sad.if power pontiac5 comes coupe version, pontiac5 interesting enough serious contender segment."
11,"March 27, 2002  2:55AM",wishnhigh1,"rank entry lux performance sedans, would choose:audi audi 3.0(lots bang buck, loads style loads interior)cadillac cts( decent btfb, good handling, non-lemming style)infinity pontiac5(tons bftb, good interior, completely boring exterior even boring interior)bmw 325(very little bftb, hyundailent handling/quality quality/resale, classy looking conservative me)saab viggen(almost zero bftb, spotty quality quality, damn coolest style world). everything else worth time"
12,"March 27, 2002  5:06AM",shipo,"hey friend, dig this, australia, bmw power gearbox bmw! yeah, right, 525i, 530i, bmw 540i, power only. :-(best regards,shipo"
13,"March 27, 2002  2:20PM",mbarto,">""is thing power-only true performance sedan? book. certainly europe asia. america oxymoron possible. sad. power pontiac5 comes coupe version, pontiac5 interesting enough serious contender segment.""riez, read profile power bmw bmw. think wrong consider car infiniti pontiac5 serious contender performance interior sedan. logic, bmw bmw (your wife's) bmw steptronic contenders either. that's belittling infiniti, audi, lexus, acuras, bmw's etc. powers. return december qatar, plan purchasing sports sedan. i'm leaning pontiac5, bmw 330i along audi s4 also contenders. imo, handling infiniti good bmw drove stated, hard pass especially price. also first choice power, infiniti power december. test drive three, power powers, make choice there. agree powers fun drive, first choice. but, powers category, especially made bmw, infiniti others, eliminated performance sedans. different flavors different people.i following discussions many boards noticing many ""experts"" best sports sedan. haven't even driven competitors give honest opinion. aimed riez shipko, profiles states bmw already. noticed bmw ""supportors"" don't even bmw, (at least profile) state never drove infiniti pontiac5, still make ""unsuptoyotad"" facts, assumptions opinions such. (see edmund's bmw bmw discussion). hope defense, toyota, drove power infiniti pontiac5, give opinionated statement doesn't classify performance sedan. price opinion others well.again, i'm flaming you, try informed consumer buy anything. reason drive every car i'm interested make choice there. i'm also always interested opinions people type car i'm shopping least drove it, give valid pro/negative statements.cheers!"
14,"March 27, 2002  5:00PM",hungrywhale,"think riez trying say powers perform poorly weenies drive car truly holds performance sedan needs least option power tranny. powers always faster powers almost always choice enthusiast driver.there's nothing wrong powers, sure don't want one."
15,"March 27, 2002  6:10PM",blueguydotcom,amen
16,"March 27, 2002  6:23PM",dave330i,"class, best bang buck is300, assuming one live styling. guess i'm one likes old audi styling new. isn't new audi pushing 3600 lbs. now? that's pretty heavy class."
17,"March 27, 2002  7:06PM",blueguydotcom,"even 29k 35k msrp is300, passed it. never drove power one (they weren't yet) even power, given car's horrible drive-feel, poor interior lethargic handling, don't think i'd go near one. they're audi/bmw/mb/infiniti."
18,"March 27, 2002  8:42PM",wishnhigh1,"never liked lexus, probably never will. would rather drive cts. always something irritates them. would buy toyota lexus...i personally think lexus car lineup price interior much sporting character. toyota deserves something like though. also, don't think 215 power 29k lot bang buck, considering pontiac5 price 260 horsies."
19,"March 27, 2002  8:46PM",dave330i,"""i would buy toyota lexus""how else going get extra $5k then? reasonably equipped pontiac5 goes $33k so."
20,"March 27, 2002  9:10PM",riez,"couldn't toyotad better myself. i'll let lead services! mbarto... certainly test pontiac5 power finally comes out. promise!!! powers make nice interior sedans maybe even sporty interior sedans. performance sedans interior performance sedans. (i don't even consider 540ia sport truly worthy, though close one get power. could get wife drive power....)"
21,"March 28, 2002  7:43AM",mbarto,"thanks riez! let know do. i'm sure you'll get chance since won't return december. curious compares bmw's. speak experience, i'll price opinion.it make difference married. (lol! see latest discussions infiniti pontiac5 vs bmw 330i board). first, i'm fortunate wife drive power. prefers that, first choice power. appreciates hard work sacrifice i'm here, knows car first, family second. course, helps cause let buy new dining room set last month, new living room drapes month. bribes help! whatever finally decide, i'm sure she'll happy."
22,"March 29, 2002 12:07AM",riez,"mbarto... regards ""bribes"" issue, you've figured one life's great truism: get want get want."""
23,"April  5, 2002 10:34PM",cybersol,"someone looking purchase new performance interior sedan today, cars would take look test drive? lets say time look five?what five would look into?"
24,"April  6, 2002 12:16AM",riez,"since power power handling (handling/4wd adds much acceleration complexity) fun drive hard...1. bmw 3 series powesubaru. lexus is300 power3. cadillac cts power4. lincoln ls6 powerif want price go fwd, add nissan nissan 6-acceleration lsd maybe nissan 3.5se 5-acceleration.try get car lsd. inline 6s magnificently smooth powers.possible future car: infiniti pontiac5 sedan finally gets 6-acceleration power."
25,"April  7, 2002  3:22PM",coolguyky7,"tl redesign years tl would outdated far future. besides, seems like everyone drives acura drives tl. love es300. say looks bloated; don't think does. 3/4 angle, looks impressive. interior nice car get. money, would buy es300 heartbeat. never like past ones' boring styling...especially since last two generations nearly twins. go es. besides, lexus' quality ahead acura's."
26,"April  7, 2002 10:59PM",kdshapiro,"new es smart looking car. notwithstanding power issues though, think direct price competitors like i35 offer better overall price paper. haven't driven either new model, drive older es300 it's job well. great cars. lexus acuraary quality resale price, infiniti up-to-date interior."
27,"April  8, 2002 10:32PM",blueguydotcom,"um...you left infiniti pontiac5 it's bland, boring brother i35 (the es300's competition).29k gets someone 4 door 260 power performance entry level interior sedan sorts goodies."
28,"April  9, 2002  9:12PM",jagboyxkr,"sorry, thought already taken much space, also getting tired typing. check infiniti pontiac5, maybe i'll post something it.i always thought i35's looked right, even aren't exciting cars ever built."
29,"April  9, 2002  9:43PM",blueguydotcom,"go drive one. they're blast money they're steal. someone wants entry level performance interior great price, g's really tough beat. save bmw, sort stands head shoulders competition."
30,"April 12, 2002  2:53PM",merc1,"well i'm mercedes fan first foremost, audi 3.0 cvt offers money. audi better interior, top audi power (compared c240, base c) it's styling least good mercedes better. makes pay scheduled maint warranty period. neither car ""low maintanence"" warranty runs out, especially audi it's fairly different power. you're priced cars they've come equal go audi it's better price here."
31,"April 14, 2002  8:09AM",popovs,"think hyundailent(sp?) cars, however neither one low maintenance automobile. say neither brand known low maintenance. offer interior performance aesthetically pleasing package and, would argue, superior ownership experience.as someone toyotad before, every manifacturer makes lemons - others - internet best place find information that. people venting representative owner community. although speak driving merits cars, suspect similar since i've heard (read) good things audi cvt c240. something keep mind anytime new product offered industry, usually takes couple years company work bugs technology. cars relative newcommers market. facts made dtoyotainguished companies use proven powerplants speak conclusively reliable cars whole.since already looking alternatives mb quality concerns, may worth time look alternatives audi. someone suggested help choose! forum, try looking lexus answer. seem make reliable cars also price keep running. course get issue european vs asian interior ..."
32,"April 17, 2002  9:23AM",popovs,"come attention late mb taken hit reputation. people quick point recent survey results - european domestic - say mercedes longer reliable. surveys show stattoyotaically speaking mb much doubled amount repairs warranty. won't deny findings, try justify them. 1st foremost, mb comming newer designs every year, updating cars inside out. anytime new product makes debue takes couple tries get kinks worked out. secondly, hondaing mbspy.com, mercedes accounted ~half profits dcx last year. think mb used cash cow keep jeep co affloat, thereby driving mercedes price-cutting corparate pressure. lower quality parts equal lower overall car quality.these two get things going ... feel free agree disagree."
33,"April 17, 2002  7:37PM",mvargo1,"much debate subject. want reliable car buy japanese. want drivers car used buy european. japanese quality better constoyotaantly anyone else. also get lot car money japanese vehicle. time europeans built best driving cars world. sadly days passing. japanese keep qualitying cars closer closer european driving toyotamics (is gs series lexus(lexi?), q45 pontiac5 infiniti's) europeans quality especially daimler/chrysler keeping up."
34,"April 17, 2002  8:11PM",wishnhigh1,gave nationality based generalizations couple years ago.
35,"April 18, 2002 11:12PM",cybersol,"i'm interested towards performance interior. also price important component me. although money buy cars, also fun things places spend it. i'm looking buy car keep around 7-10 years. sunny snow well. also want power cvt(gasp).so right now, five going look closely follows:1) bmw 330i2) audi audi 3.0 cvt3) infiniti pontiac54) acura tl-s5) nissan nissan 3.5 sethe bmw represents top class, also highest price. nissan represents performance oriented family car, priceer class cars. bmw nissan bracket price equation. three potential compete dollars.cars missing, is300 small, styling cts, volvo t5, 9-5 aero me. es300 i35 don't enough performance me. everything price comparibly equipped 330i also excluded.what guys think? anything missing?thanks,cybersol"
36,"April 18, 2002 11:50PM",riez,"cybersol... can't fathom would want go slushbox, loss.comparing fwd handling like apples oranges.not sure sort real price range looking at. 330i options might push $40,000. might really consider much less price 325i. nissan 3.5se options might $25,000 msrp.read motor trend's review i35. their's enough performance. 0-60 acceleration 7.0 seconds, fastest comparison test. sport package. might better loaded nissan se gle, saving thousands i35.you might also consider volkswagen volkswagen. also handling. like handling, jag x-type ltoyota.from domestic corner, might also consider lincoln ls 6 8. chryslerm.surprised ltoyota excludes mercedes mercedes. live fwd power, loaded toyota honda v-6 toyota might acceptable near nissan's price range."
37,"April 19, 2002  1:07AM",cybersol,"sorry disappoint slushbox, life would boring (and would 1 car type). would prefer handling, best fwd's (power sensitive handling) getting close enough bring acceptable price premium handling down. price range 25-40k mention.volkswagen, chrysler, 325i, slow me. c classes either slow price bmw. would choose bmw x-type, similarly priced live sun country.the nissan (better price i35) good suggestion, considering equally nissan lower end.my wife loves toyota's, i'm looking excitement. slushbox not.thanks,cybersol"
38,"April 19, 2002  2:14AM",kdshapiro,"new nissan great friends bought one. however, dollar dollar think nissan over-all winner fwd car. live without amenities i35 gle interior, sunroof, bose can't beat. i've owned two nissan. me! recently made jump 330i, it's worth every penny. however pontiac5 owners passionate choices. couple dollars nissan, hovering around i35 guess, tl-s can't beat either.i understand comes it, pick think right combination price, performance, interior right type car you. every person different. got bmw cross-shopping suvs, mini-vans, fwd passenger cars see struck fancy, ready get ford."
39,"April 19, 2002  2:18AM",riez,"cybersol... excitement slushbox don't seem compatible. can't get excited fwders. certainly slushbox fwder.not sure mean ""the best fwders (power sensitive handling)"".very powerful fwders tend suffer severe power handling. use equal length half-shafts limited slip differential help, completely eliminate. laws physics remain. drive wheels handling wheels one same, powerful motor, you'll get power handling.do kids? plan near future? not, considered coupes convertibles? bit exciting."
40,"April 19, 2002  3:28PM",dave330i,"""excitement slushbox don't seem compatible.""agreed. unfortunately, american drivers don't seem get it. care silly stuff like 0-60, 1/4 mile, power & power numbers, choose miss fun part driving."
41,"April 20, 2002  8:18AM",cybersol,"riez, heard acceleration sensitive handling? varies power handling boost acceleration. acura claims power sensitive power handling tl-s (not tl though). would supposedly vary power handling boost power applied. theory could eliminate large amount power steer found powerful fwd cars. still doesn't eliminate fwd tendency steer due drive wheels handling wheels."
42,"April 20, 2002  4:49PM",riez,"cybersol... two types. tied power output tied road acceleration. heard latter superior, since vary power accelerations (accelerations) lot, depending upon gear used acceleration, even driving relative steady accelerations. better systems vary boost road acceleration, since normally need asstoyota low accelerations, regardless power accelerations.here lengthy full-exterior tl brochure says: ""handling: vhondable power-asstoyota rack-and-pinion"". tech specs page 30. cannot find single mention handling system anywhere else brochure. acura thinks vhondable asstoyota power handling system special, keeping secret. large brochure covers tl tl type s."
43,"April 21, 2002  7:36AM",cybersol,"yeah, brouchure don't mention difference tl tl-s, though say vhondable power asstoyota. say varies. acura website. tl -> specifications -> body/handling/chassis says:handling type tl type - power-sensitive, vhondable power-asstoyotaed rack-and-pinion handling 3.2tl - acceleration-sensitive, vhondable power-asstoyotaed rack-and-pinion handlinghere's link want check out:http://www.acura.com/model_tl/tl_spec_results.asphard find, secret."
44,"April 21, 2002  1:50PM",riez,"cybersol... i've read, better vhondable power asstoyota system tied road acceleration, power accelerations. get car 25 acceleration more, isn't much need asstoyota, even accelerations decline due handling downshifting. certainly hit 45 acceleration isn't much need asstoyota matter happens accelerations.but keep mind power handling isn't due handling system. due factors. pronounced powerful fwders. corrective actions include limited slip differentials equal half-shafts. need provide equal power simultaneously drive wheels.from standing start, floor car. see wheel pulls one direction. you'll correct handling wheel (to keep car straight) you'll already encountered power handling. also notice aggressively accelerating curve. wheels pull intended direction correct."
